candidate,round1,round2,round3,round4,round5,round6,round7,round8,impute,trial,rank
ELLEN LEE ZHOU,9597,9597,9721,9859,10950,NA,NA,NA,vote_choice_precinct,10,5
RICHIE GREENBERG,7062,7062,7155,7268,NA,NA,NA,NA,vote_choice_precinct,10,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice_precinct,10,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice_precinct,10,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice_precinct,10,9
"NA",0,0,0,70,429,2269,9981,18482,vote_choice_precinct,10,10
LONDON BREED,92197,92200,92346,92551,94141,97478,104372,117163,multinomial,1,1
MARK LENO,61515,61515,61657,62024,63362,64818,70057,115723,multinomial,1,2
JANE KIM,60837,60837,60945,61584,62152,63777,66882,NA,multinomial,1,3
ANGELA ALIOTO,17600,17600,17812,18032,20387,23070,NA,NA,multinomial,1,4
ELLEN LEE ZHOU,9597,9597,9729,9872,10947,NA,NA,NA,multinomial,1,5
RICHIE GREENBERG,7062,7062,7153,7262,NA,NA,NA,NA,multinomial,1,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,multinomial,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,1,9
"NA",0,0,0,73,409,2255,10087,18512,multinomial,1,10
LONDON BREED,92197,92200,92335,92551,94172,97485,104452,117250,multinomial,2,1
MARK LENO,61515,61515,61653,62015,63345,64835,70017,115691,multinomial,2,2
JANE KIM,60837,60837,60947,61593,62171,63791,66909,NA,multinomial,2,3
ANGELA ALIOTO,17600,17600,17824,18022,20327,22999,NA,NA,multinomial,2,4
ELLEN LEE ZHOU,9597,9597,9734,9881,10976,NA,NA,NA,multinomial,2,5
RICHIE GREENBERG,7062,7062,7150,7264,NA,NA,NA,NA,multinomial,2,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,multinomial,2,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,2,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,2,9
"NA",0,0,0,72,407,2288,10020,18457,multinomial,2,10
LONDON BREED,92197,92200,92337,92549,94132,97457,104344,117155,multinomial,3,1
MARK LENO,61515,61515,61658,62032,63365,64818,70035,115692,multinomial,3,2
JANE KIM,60837,60837,60943,61574,62143,63788,66935,NA,multinomial,3,3
ANGELA ALIOTO,17600,17600,17817,18018,20371,23054,NA,NA,multinomial,3,4
ELLEN LEE ZHOU,9597,9597,9736,9890,10982,NA,NA,NA,multinomial,3,5
RICHIE GREENBERG,7062,7062,7151,7262,NA,NA,NA,NA,multinomial,3,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,multinomial,3,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,3,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,3,9
"NA",0,0,0,73,405,2281,10084,18551,multinomial,3,10
LONDON BREED,92197,92200,92332,92542,94127,97456,104394,117205,multinomial,4,1
MARK LENO,61515,61515,61651,62022,63350,64810,70013,115662,multinomial,4,2
JANE KIM,60837,60837,60947,61590,62170,63787,66946,NA,multinomial,4,3
ANGELA ALIOTO,17600,17600,17822,18024,20347,23018,NA,NA,multinomial,4,4
ELLEN LEE ZHOU,9597,9597,9735,9883,10996,NA,NA,NA,multinomial,4,5
RICHIE GREENBERG,7062,7062,7150,7259,NA,NA,NA,NA,multinomial,4,6
AMY FARAH WEISS,1683,1683,1761,NA,NA,NA,NA,NA,multinomial,4,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,4,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,4,9
"NA",0,0,0,78,408,2327,10045,18531,multinomial,4,10
LONDON BREED,92197,92200,92343,92552,94142,97433,104302,117038,multinomial,5,1
MARK LENO,61515,61515,61657,62029,63322,64800,70063,115794,multinomial,5,2
JANE KIM,60837,60837,60944,61586,62168,63804,66970,NA,multinomial,5,3
ANGELA ALIOTO,17600,17600,17822,18027,20350,23015,NA,NA,multinomial,5,4
ELLEN LEE ZHOU,9597,9597,9726,9867,11008,NA,NA,NA,multinomial,5,5
RICHIE GREENBERG,7062,7062,7154,7268,NA,NA,NA,NA,multinomial,5,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,multinomial,5,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,5,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,5,9
"NA",0,0,0,69,408,2346,10063,18566,multinomial,5,10
LONDON BREED,92197,92200,92340,92552,94133,97448,104368,117150,multinomial,6,1
MARK LENO,61515,61515,61658,62026,63359,64812,69997,115675,multinomial,6,2
JANE KIM,60837,60837,60944,61586,62168,63822,67010,NA,multinomial,6,3
ANGELA ALIOTO,17600,17600,17821,18030,20348,23004,NA,NA,multinomial,6,4
ELLEN LEE ZHOU,9597,9597,9732,9874,10978,NA,NA,NA,multinomial,6,5
RICHIE GREENBERG,7062,7062,7148,7258,NA,NA,NA,NA,multinomial,6,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,multinomial,6,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,6,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,6,9
"NA",0,0,0,72,412,2312,10023,18573,multinomial,6,10
LONDON BREED,92197,92200,92345,92559,94162,97543,104446,117245,multinomial,7,1
MARK LENO,61515,61515,61653,62031,63356,64810,70026,115724,multinomial,7,2
JANE KIM,60837,60837,60950,61585,62159,63746,66887,NA,multinomial,7,3
ANGELA ALIOTO,17600,17600,17812,18018,20338,23021,NA,NA,multinomial,7,4
ELLEN LEE ZHOU,9597,9597,9729,9870,10964,NA,NA,NA,multinomial,7,5
RICHIE GREENBERG,7062,7062,7153,7262,NA,NA,NA,NA,multinomial,7,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,multinomial,7,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,7,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,7,9
"NA",0,0,0,73,419,2278,10039,18429,multinomial,7,10
LONDON BREED,92197,92200,92342,92560,94155,97483,104387,117186,multinomial,8,1
MARK LENO,61515,61515,61660,62035,63365,64826,70039,115699,multinomial,8,2
JANE KIM,60837,60837,60944,61579,62129,63763,66928,NA,multinomial,8,3
ANGELA ALIOTO,17600,17600,17811,18009,20364,23036,NA,NA,multinomial,8,4
ELLEN LEE ZHOU,9597,9597,9735,9884,10976,NA,NA,NA,multinomial,8,5
RICHIE GREENBERG,7062,7062,7148,7256,NA,NA,NA,NA,multinomial,8,6
AMY FARAH WEISS,1683,1683,1758,NA,NA,NA,NA,NA,multinomial,8,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,8,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,8,9
"NA",0,0,0,75,409,2290,10044,18513,multinomial,8,10
LONDON BREED,92197,92200,92343,92553,94155,97470,104423,117224,multinomial,9,1
MARK LENO,61515,61515,61653,62032,63341,64787,70001,115657,multinomial,9,2
JANE KIM,60837,60837,60951,61593,62156,63816,66941,NA,multinomial,9,3
ANGELA ALIOTO,17600,17600,17820,18015,20378,23035,NA,NA,multinomial,9,4
ELLEN LEE ZHOU,9597,9597,9726,9872,10963,NA,NA,NA,multinomial,9,5
RICHIE GREENBERG,7062,7062,7148,7259,NA,NA,NA,NA,multinomial,9,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,multinomial,9,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,9,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,9,9
"NA",0,0,0,74,405,2290,10033,18517,multinomial,9,10
LONDON BREED,92197,92200,92342,92558,94106,97392,104272,117080,multinomial,10,1
MARK LENO,61515,61515,61657,62034,63394,64851,70090,115761,multinomial,10,2
JANE KIM,60837,60837,60947,61586,62183,63860,67008,NA,multinomial,10,3
ANGELA ALIOTO,17600,17600,17820,18022,20349,23014,NA,NA,multinomial,10,4
ELLEN LEE ZHOU,9597,9597,9730,9872,10971,NA,NA,NA,multinomial,10,5
RICHIE GREENBERG,7062,7062,7146,7253,NA,NA,NA,NA,multinomial,10,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,multinomial,10,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,multinomial,10,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,multinomial,10,9
"NA",0,0,0,73,395,2281,10028,18557,multinomial,10,10
LONDON BREED,91918,91921,92039,92233,93363,96028,101335,113247,original,1,1
MARK LENO,61276,61276,61392,61734,62675,63837,67902,110979,original,1,2
JANE KIM,60644,60644,60735,61320,61727,63059,65549,NA,original,1,3
ANGELA ALIOTO,17447,17447,17628,17810,19463,21609,NA,NA,original,1,4
ELLEN LEE ZHOU,9521,9521,9631,9758,10526,NA,NA,NA,original,1,5
RICHIE GREENBERG,7016,7016,7093,7189,NA,NA,NA,NA,original,1,6
AMY FARAH WEISS,1661,1661,1720,NA,NA,NA,NA,NA,original,1,7
MICHELLE BRAVO,890,890,NA,NA,NA,NA,NA,NA,original,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,original,1,9
"NA",3640,3640,3778,3972,6262,9483,19230,29790,original,1,10
LONDON BREED,57495,57498,57603,57782,58672,60956,65225,79927,listwise,1,1
JANE KIM,48038,48038,48116,48677,49022,50217,52457,78220,listwise,1,2
MARK LENO,43385,43385,43486,43807,44584,45628,49081,NA,listwise,1,3
ANGELA ALIOTO,11489,11489,11644,11813,13049,15022,NA,NA,listwise,1,4
ELLEN LEE ZHOU,6842,6842,6934,7056,7665,NA,NA,NA,listwise,1,5
RICHIE GREENBERG,3944,3944,4013,4102,NA,NA,NA,NA,listwise,1,6
AMY FARAH WEISS,1441,1441,1495,NA,NA,NA,NA,NA,listwise,1,7
MICHELLE BRAVO,654,654,NA,NA,NA,NA,NA,NA,listwise,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,listwise,1,9
"NA",0,0,0,54,299,1468,6528,15144,listwise,1,10
MARK LENO,61515,61515,61682,62080,63757,65672,71561,116728,nothing,1,1
LONDON BREED,92197,92200,92342,92560,94071,97098,103250,116050,nothing,1,2
JANE KIM,60837,60837,60965,61591,62559,64448,68233,NA,nothing,1,3
ANGELA ALIOTO,17600,17600,17802,18007,19976,22365,NA,NA,nothing,1,4
ELLEN LEE ZHOU,9597,9597,9713,9844,10684,NA,NA,NA,nothing,1,5
RICHIE GREENBERG,7062,7062,7148,7251,NA,NA,NA,NA,nothing,1,6
AMY FARAH WEISS,1683,1683,1746,NA,NA,NA,NA,NA,nothing,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,1,9
"NA",0,0,0,65,351,1815,8354,18620,nothing,1,10
MARK LENO,61515,61515,61678,62075,63743,65638,71499,116650,nothing,2,1
LONDON BREED,92197,92200,92343,92558,94077,97101,103288,116120,nothing,2,2
JANE KIM,60837,60837,60966,61585,62553,64407,68192,NA,nothing,2,3
ANGELA ALIOTO,17600,17600,17803,18016,19976,22420,NA,NA,nothing,2,4
ELLEN LEE ZHOU,9597,9597,9714,9847,10694,NA,NA,NA,nothing,2,5
RICHIE GREENBERG,7062,7062,7144,7249,NA,NA,NA,NA,nothing,2,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,nothing,2,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,2,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,2,9
"NA",0,0,0,68,355,1832,8419,18628,nothing,2,10
MARK LENO,61515,61515,61686,62083,63762,65661,71505,116649,nothing,3,1
LONDON BREED,92197,92200,92335,92552,94055,97101,103262,116081,nothing,3,2
JANE KIM,60837,60837,60971,61600,62585,64436,68252,NA,nothing,3,3
ANGELA ALIOTO,17600,17600,17801,18004,19944,22366,NA,NA,nothing,3,4
ELLEN LEE ZHOU,9597,9597,9714,9846,10700,NA,NA,NA,nothing,3,5
RICHIE GREENBERG,7062,7062,7142,7246,NA,NA,NA,NA,nothing,3,6
AMY FARAH WEISS,1683,1683,1749,NA,NA,NA,NA,NA,nothing,3,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,3,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,3,9
"NA",0,0,0,67,352,1834,8379,18668,nothing,3,10
MARK LENO,61515,61515,61680,62077,63794,65672,71495,116659,nothing,4,1
LONDON BREED,92197,92200,92343,92558,94052,97079,103233,116068,nothing,4,2
JANE KIM,60837,60837,60969,61590,62543,64427,68285,NA,nothing,4,3
ANGELA ALIOTO,17600,17600,17800,18014,19964,22388,NA,NA,nothing,4,4
ELLEN LEE ZHOU,9597,9597,9716,9847,10699,NA,NA,NA,nothing,4,5
RICHIE GREENBERG,7062,7062,7143,7247,NA,NA,NA,NA,nothing,4,6
AMY FARAH WEISS,1683,1683,1747,NA,NA,NA,NA,NA,nothing,4,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,4,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,4,9
"NA",0,0,0,65,346,1832,8385,18671,nothing,4,10
MARK LENO,61515,61515,61684,62082,63757,65676,71512,116695,nothing,5,1
LONDON BREED,92197,92200,92342,92558,94052,97049,103217,116024,nothing,5,2
JANE KIM,60837,60837,60968,61591,62573,64412,68233,NA,nothing,5,3
ANGELA ALIOTO,17600,17600,17803,18008,19966,22425,NA,NA,nothing,5,4
ELLEN LEE ZHOU,9597,9597,9710,9844,10696,NA,NA,NA,nothing,5,5
RICHIE GREENBERG,7062,7062,7143,7249,NA,NA,NA,NA,nothing,5,6
AMY FARAH WEISS,1683,1683,1748,NA,NA,NA,NA,NA,nothing,5,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,5,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,5,9
"NA",0,0,0,66,354,1836,8436,18679,nothing,5,10
MARK LENO,61515,61515,61685,62087,63767,65695,71446,116604,nothing,6,1
LONDON BREED,92197,92200,92342,92554,94056,97063,103267,116114,nothing,6,2
JANE KIM,60837,60837,60961,61582,62560,64425,68289,NA,nothing,6,3
ANGELA ALIOTO,17600,17600,17804,18009,19957,22375,NA,NA,nothing,6,4
ELLEN LEE ZHOU,9597,9597,9715,9852,10713,NA,NA,NA,nothing,6,5
RICHIE GREENBERG,7062,7062,7143,7246,NA,NA,NA,NA,nothing,6,6
AMY FARAH WEISS,1683,1683,1748,NA,NA,NA,NA,NA,nothing,6,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,6,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,6,9
"NA",0,0,0,68,345,1840,8396,18680,nothing,6,10
MARK LENO,61515,61515,61685,62076,63761,65686,71427,116606,nothing,7,1
LONDON BREED,92197,92200,92343,92563,94046,97071,103287,116076,nothing,7,2
JANE KIM,60837,60837,60959,61587,62569,64430,68302,NA,nothing,7,3
ANGELA ALIOTO,17600,17600,17804,18009,19973,22380,NA,NA,nothing,7,4
ELLEN LEE ZHOU,9597,9597,9713,9849,10698,NA,NA,NA,nothing,7,5
RICHIE GREENBERG,7062,7062,7142,7245,NA,NA,NA,NA,nothing,7,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,nothing,7,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,7,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,7,9
"NA",0,0,0,69,351,1831,8382,18716,nothing,7,10
MARK LENO,61515,61515,61680,62077,63753,65618,71489,116649,nothing,8,1
LONDON BREED,92197,92200,92343,92553,94053,97096,103228,116073,nothing,8,2
JANE KIM,60837,60837,60969,61588,62569,64459,68295,NA,nothing,8,3
ANGELA ALIOTO,17600,17600,17801,18016,19959,22370,NA,NA,nothing,8,4
ELLEN LEE ZHOU,9597,9597,9716,9854,10717,NA,NA,NA,nothing,8,5
RICHIE GREENBERG,7062,7062,7144,7246,NA,NA,NA,NA,nothing,8,6
AMY FARAH WEISS,1683,1683,1745,NA,NA,NA,NA,NA,nothing,8,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,8,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,8,9
"NA",0,0,0,64,347,1855,8386,18676,nothing,8,10
MARK LENO,61515,61515,61690,62086,63763,65679,71535,116665,nothing,9,1
LONDON BREED,92197,92200,92337,92553,94065,97069,103268,116136,nothing,9,2
JANE KIM,60837,60837,60962,61591,62576,64445,68230,NA,nothing,9,3
ANGELA ALIOTO,17600,17600,17804,18007,19936,22363,NA,NA,nothing,9,4
ELLEN LEE ZHOU,9597,9597,9713,9849,10706,NA,NA,NA,nothing,9,5
RICHIE GREENBERG,7062,7062,7145,7248,NA,NA,NA,NA,nothing,9,6
AMY FARAH WEISS,1683,1683,1747,NA,NA,NA,NA,NA,nothing,9,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,9,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,9,9
"NA",0,0,0,64,352,1842,8365,18597,nothing,9,10
MARK LENO,61515,61515,61680,62068,63720,65647,71471,116630,nothing,10,1
LONDON BREED,92197,92200,92344,92560,94063,97077,103265,116090,nothing,10,2
JANE KIM,60837,60837,60963,61597,62609,64469,68280,NA,nothing,10,3
ANGELA ALIOTO,17600,17600,17802,18005,19959,22373,NA,NA,nothing,10,4
ELLEN LEE ZHOU,9597,9597,9713,9848,10690,NA,NA,NA,nothing,10,5
RICHIE GREENBERG,7062,7062,7145,7251,NA,NA,NA,NA,nothing,10,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,nothing,10,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,nothing,10,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,nothing,10,9
"NA",0,0,0,69,357,1832,8382,18678,nothing,10,10
LONDON BREED,92197,92200,92334,92546,94133,97445,104285,117145,vote_choice,1,1
MARK LENO,61515,61515,61659,62035,63351,64792,70087,115777,vote_choice,1,2
JANE KIM,60837,60837,60944,61586,62165,63819,66949,NA,vote_choice,1,3
ANGELA ALIOTO,17600,17600,17816,18021,20338,23042,NA,NA,vote_choice,1,4
ELLEN LEE ZHOU,9597,9597,9740,9877,11000,NA,NA,NA,vote_choice,1,5
RICHIE GREENBERG,7062,7062,7149,7260,NA,NA,NA,NA,vote_choice,1,6
AMY FARAH WEISS,1683,1683,1756,NA,NA,NA,NA,NA,vote_choice,1,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,1,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,1,9
"NA",0,0,0,73,411,2300,10077,18476,vote_choice,1,10
LONDON BREED,92197,92200,92341,92560,94145,97494,104331,117142,vote_choice,2,1
MARK LENO,61515,61515,61664,62046,63347,64793,70071,115794,vote_choice,2,2
JANE KIM,60837,60837,60947,61579,62190,63801,66984,NA,vote_choice,2,3
ANGELA ALIOTO,17600,17600,17811,18012,20336,23025,NA,NA,vote_choice,2,4
ELLEN LEE ZHOU,9597,9597,9734,9874,10981,NA,NA,NA,vote_choice,2,5
RICHIE GREENBERG,7062,7062,7149,7258,NA,NA,NA,NA,vote_choice,2,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,2,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,2,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,2,9
"NA",0,0,0,69,399,2285,10012,18462,vote_choice,2,10
LONDON BREED,92197,92200,92339,92551,94113,97398,104215,116970,vote_choice,3,1
MARK LENO,61515,61515,61642,62019,63339,64814,70076,115860,vote_choice,3,2
JANE KIM,60837,60837,60948,61589,62162,63779,66976,NA,vote_choice,3,3
ANGELA ALIOTO,17600,17600,17821,18025,20394,23141,NA,NA,vote_choice,3,4
ELLEN LEE ZHOU,9597,9597,9734,9869,10951,NA,NA,NA,vote_choice,3,5
RICHIE GREENBERG,7062,7062,7160,7274,NA,NA,NA,NA,vote_choice,3,6
AMY FARAH WEISS,1683,1683,1754,NA,NA,NA,NA,NA,vote_choice,3,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,3,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,3,9
"NA",0,0,0,71,439,2266,10131,18568,vote_choice,3,10
LONDON BREED,92197,92200,92341,92549,94130,97450,104310,117110,vote_choice,4,1
MARK LENO,61515,61515,61656,62027,63365,64832,70044,115765,vote_choice,4,2
JANE KIM,60837,60837,60943,61587,62167,63817,67055,NA,vote_choice,4,3
ANGELA ALIOTO,17600,17600,17813,18013,20356,23053,NA,NA,vote_choice,4,4
ELLEN LEE ZHOU,9597,9597,9733,9883,10974,NA,NA,NA,vote_choice,4,5
RICHIE GREENBERG,7062,7062,7153,7263,NA,NA,NA,NA,vote_choice,4,6
AMY FARAH WEISS,1683,1683,1759,NA,NA,NA,NA,NA,vote_choice,4,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,4,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,4,9
"NA",0,0,0,76,406,2246,9989,18523,vote_choice,4,10
LONDON BREED,92197,92200,92341,92551,94174,97499,104306,117115,vote_choice,5,1
MARK LENO,61515,61515,61653,62033,63355,64775,69998,115715,vote_choice,5,2
JANE KIM,60837,60837,60948,61596,62181,63815,67023,NA,vote_choice,5,3
ANGELA ALIOTO,17600,17600,17814,18013,20283,23002,NA,NA,vote_choice,5,4
ELLEN LEE ZHOU,9597,9597,9730,9869,10976,NA,NA,NA,vote_choice,5,5
RICHIE GREENBERG,7062,7062,7157,7264,NA,NA,NA,NA,vote_choice,5,6
AMY FARAH WEISS,1683,1683,1755,NA,NA,NA,NA,NA,vote_choice,5,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,5,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,5,9
"NA",0,0,0,72,429,2307,10071,18568,vote_choice,5,10
LONDON BREED,92197,92200,92346,92561,94154,97456,104269,117108,vote_choice,6,1
MARK LENO,61515,61515,61661,62037,63364,64837,70059,115776,vote_choice,6,2
JANE KIM,60837,60837,60941,61581,62133,63770,67011,NA,vote_choice,6,3
ANGELA ALIOTO,17600,17600,17816,18020,20359,23060,NA,NA,vote_choice,6,4
ELLEN LEE ZHOU,9597,9597,9729,9871,10973,NA,NA,NA,vote_choice,6,5
RICHIE GREENBERG,7062,7062,7152,7258,NA,NA,NA,NA,vote_choice,6,6
AMY FARAH WEISS,1683,1683,1753,NA,NA,NA,NA,NA,vote_choice,6,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,6,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,6,9
"NA",0,0,0,70,415,2275,10059,18514,vote_choice,6,10
LONDON BREED,92197,92200,92343,92555,94102,97403,104158,116939,vote_choice,7,1
MARK LENO,61515,61515,61652,62031,63346,64800,70083,115842,vote_choice,7,2
JANE KIM,60837,60837,60942,61576,62172,63814,67041,NA,vote_choice,7,3
ANGELA ALIOTO,17600,17600,17824,18032,20390,23106,NA,NA,vote_choice,7,4
ELLEN LEE ZHOU,9597,9597,9722,9866,10956,NA,NA,NA,vote_choice,7,5
RICHIE GREENBERG,7062,7062,7163,7269,NA,NA,NA,NA,vote_choice,7,6
AMY FARAH WEISS,1683,1683,1752,NA,NA,NA,NA,NA,vote_choice,7,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,7,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,7,9
"NA",0,0,0,69,432,2275,10116,18617,vote_choice,7,10
LONDON BREED,92197,92200,92346,92562,94128,97421,104229,117047,vote_choice,8,1
MARK LENO,61515,61515,61655,62031,63353,64806,70103,115838,vote_choice,8,2
JANE KIM,60837,60837,60938,61579,62160,63836,67075,NA,vote_choice,8,3
ANGELA ALIOTO,17600,17600,17823,18023,20351,23029,NA,NA,vote_choice,8,4
ELLEN LEE ZHOU,9597,9597,9737,9878,10999,NA,NA,NA,vote_choice,8,5
RICHIE GREENBERG,7062,7062,7149,7258,NA,NA,NA,NA,vote_choice,8,6
AMY FARAH WEISS,1683,1683,1750,NA,NA,NA,NA,NA,vote_choice,8,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,8,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,8,9
"NA",0,0,0,67,407,2306,9991,18513,vote_choice,8,10
LONDON BREED,92197,92200,92343,92556,94156,97453,104240,117048,vote_choice,9,1
MARK LENO,61515,61515,61649,62024,63414,64868,70175,115914,vote_choice,9,2
JANE KIM,60837,60837,60952,61595,62158,63785,67022,NA,vote_choice,9,3
ANGELA ALIOTO,17600,17600,17817,18014,20313,23061,NA,NA,vote_choice,9,4
ELLEN LEE ZHOU,9597,9597,9726,9871,10944,NA,NA,NA,vote_choice,9,5
RICHIE GREENBERG,7062,7062,7160,7270,NA,NA,NA,NA,vote_choice,9,6
AMY FARAH WEISS,1683,1683,1751,NA,NA,NA,NA,NA,vote_choice,9,7
MICHELLE BRAVO,904,904,NA,NA,NA,NA,NA,NA,vote_choice,9,8
WRITE-IN ANTOINE R. ROGERS,3,NA,NA,NA,NA,NA,NA,NA,vote_choice,9,9
"NA",0,0,0,68,413,2231,9961,18436,vote_choice,9,10
LONDON BREED,92197,92200,92343,92556,94118,97431,104278,117052,vote_choice,10,1
MARK LENO,61515,61515,61651,62032,63397,64863,70113,115880,vote_choice,10,2
JANE KIM,60837,60837,60949,61584,62151,63800,67029,NA,vote_choice,10,3
ANGELA ALIOTO,17600,17600,17824,18023,20339,23010,NA,NA,vote_choice,10,4
ELLEN LEE ZHOU,9597,9597,9724,9868,10985,NA,NA,NA,vote_choice,10,5
RICHIE GREENBERG,7062,7062,7150,7261,NA,NA,NA,NA,vote_choice,10,6
AMY FARAH WEISS,1683,1683,1757,NA,NA,NA,NA,NA,vote_choice,10,7
